id,title,description,emoji
0048b889-1b62-4769-b4dc-e439952d227b,Ar livre,Ar livre,ğŸƒ
139b46d8-c33b-4720-b771-784a99fc5ba0,Elegante,Elegante,ğŸ¸ï¸
1c0f3730-9837-487b-8ba2-e56d39e94878,Moda,Moda,ğŸ‘ 
1d845161-c1ee-4eae-b931-8f8901f6dc28,Para as divas,Para as divas,ğŸ’…ğŸ½
23dabcb2-b9b1-4037-8b74-fb3c98791549,Esportes Radicais,Esportes Radicais,ğŸª‚
26721686-1dc3-45e8-9562-507629b623b6,CulinÃ¡ria,CulinÃ¡ria,ğŸ‘¨â€ğŸ³
31dfda2b-ad34-4b79-8082-7005ace83203,Beach Tennis,Beach Tennis,ğŸ¾
3dd0c2e9-67be-4da0-9cbc-8b06d2a15f89,Festas,Festas,ğŸª©
40475abc-bbf3-4ea0-ac44-070facbcecb7,Artes,Artes,ğŸ¨
4631f2be-869d-4f8c-ab94-501d8e4e4e01,Futebol,Futebol,âš½
4f9a7eaf-bfd0-4631-b171-d5a92e5c8824,Altinha,Altinha,ğŸ
506f123b-76a3-45eb-a259-a75358a3b716,Restaurantes,Restaurantes,ğŸ´
574b9bb2-a55f-449f-960f-fc7751079f57,Ir com a galera,Ir com a galera,ğŸ‘¥
5c2c7611-a820-4295-ace8-aad0f83dca20,VÃ´lei,VÃ´lei,ğŸ
68c9d5f7-c94f-4ecd-96a5-701b6e7408f9,Causas Sociais,Causas Sociais,ğŸ¤²
6d38bc48-d63a-4d67-b6e8-bb6a1db32c47,Yoga,Yoga,ğŸ§˜
6fcce053-4054-4f87-90a4-7688ac6df0e8,Teatro,Teatro,ğŸ­
72482812-14e5-494c-a1fd-f1943c4289f6,Cinema,Cinema,ğŸ¬
74cdf81e-9b72-4b80-b733-dd16509eb7f9,Viagens,Viagens,âœˆï¸
758f1863-9d1c-43ae-81b0-3e321ad5b0f2,Aventura,Aventura,ğŸ¥¾
98265185-3cbc-4ac9-9363-495765dc641f,Basquete,Basquete,ğŸ€
98f83202-01a1-411a-b2e3-6d46c67f6136,Esportes,Esportes,ğŸ…
99d7e1ba-02ae-4bc9-8e28-c709e0e808c7,Corrida,Corrida,ğŸƒâ€â™‚ï¸
a04964ab-6b90-4ea8-95ab-88be6374e2cb,DanÃ§a,DanÃ§a,ğŸ•º
a4ad7d4a-9be3-4353-930e-11a6297b050a,Gastronomia,Gastronomia,ğŸ˜‹
ae8cf24c-d0b4-4dbb-8315-9ee7b1612fd5,Para os moleques,Para os moleques,ğŸ§¢
b26077f2-ffc1-434c-af3e-a6686e18cd05,MÃºsica,MÃºsica,ğŸµ
bddd75d5-6d27-438b-abe0-502a21cd90e6,Tecnologia,Tecnologia,ğŸ‘¨â€ğŸ’»
cc61559a-9d12-40f0-b7ee-7259270e53a0,Roundnet,Roundnet,ğŸ¥
ccb83bac-637a-489d-8eb8-f39aef6004c6,ReligiÃ£o,ReligiÃ£o,ğŸ›
e74551a8-ec04-4ce9-9401-d25a5923d7be,CiÃªncias,CiÃªncias,ğŸ”­
f252d2f4-fe66-47e8-b20f-709be5f5f9ee,Artes Marciais,Artes Marciais,ğŸ¥Š
f25ae541-2974-4129-98f1-d2eeed554768,Humor,Humor,ğŸ¤£
f52d3abf-0817-461b-9547-0c6008c7c628,Jogos,Jogos,ğŸ²
f9a42e0d-56ba-4e6d-9d5b-70bff3572544,Relaxando,Relaxando,ğŸ’†â€â™€ï¸
fd9ff3ac-d672-47aa-8ad8-6033f49658a6,Turismo,Turismo,ğŸ—ºï¸